ticker,cik,10-K #1 Filing Date,10-K #1 Period,10-K #2 Filing Date,10-K #2 Period,10-Q #1 Filing Date,10-Q #1 Period,10-Q #2 Filing Date,10-Q #2 Period,10-Q #3 Filing Date,10-Q #3 Period,10-Q #4 Filing Date,10-Q #4 Period,10-Q #5 Filing Date,10-Q #5 Period,10-Q #6 Filing Date,10-Q #6 Period
hban,0000049196,2020-02-14,2019-12-31,2019-02-15,2018-12-31,2020-05-01,2020-03-31,2019-10-28,2019-09-30,2019-07-29,2019-06-30,2019-04-29,2019-03-31,2018-10-30,2018-09-30,2018-07-30,2018-06-30
hii,0001501585,2020-02-13,2019-12-31,2019-02-14,2018-12-31,2020-05-07,2020-03-31,2019-11-07,2019-09-30,2019-08-01,2019-06-30,2019-05-02,2019-03-31,2018-11-08,2018-09-30,2018-08-02,2018-06-30
iex,0000832101,2020-02-21,2019-12-31,2019-02-28,2018-12-31,2020-04-24,2020-03-31,2019-10-30,2019-09-30,2019-07-26,2019-06-30,2019-04-26,2019-03-31,2018-10-24,2018-09-30,2018-07-25,2018-06-30
idxx,0000874716,2020-02-14,2019-12-31,2019-02-15,2018-12-31,2020-04-30,2020-03-31,2019-10-31,2019-09-30,2019-08-01,2019-06-30,2019-05-01,2019-03-31,2018-11-01,2018-09-30,2018-08-01,2018-06-30
info,0001598014,2020-01-17,2019-11-30,2019-01-18,2018-11-30,2020-03-24,2020-02-29,2019-09-24,2019-08-31,2019-06-26,2019-05-31,2019-03-26,2019-02-28,2018-09-25,2018-08-31,2018-06-26,2018-05-31
itw,0000049826,2020-02-14,2019-12-31,2019-02-15,2018-12-31,2020-05-08,2020-03-31,2019-10-28,2019-09-30,2019-08-02,2019-06-30,2019-05-03,2019-03-31,2018-11-01,2018-09-30,2018-08-03,2018-06-30
ilmn,0001110803,2020-02-11,2019-12-29,2019-02-12,2018-12-30,2020-05-01,2020-03-29,2019-10-25,2019-09-29,2019-07-31,2019-06-30,2019-04-26,2019-03-31,2018-10-24,2018-09-30,2018-07-31,2018-07-01
incy,0000879169,2020-02-13,2019-12-31,2019-02-14,2018-12-31,2020-05-05,2020-03-31,2019-10-29,2019-09-30,2019-07-30,2019-06-30,2019-04-30,2019-03-31,2018-10-30,2018-09-30,2018-07-31,2018-06-30
ir,0001699150,2020-02-26,2019-12-31,2019-02-27,2018-12-31,2020-05-15,2020-03-31,2019-10-30,2019-09-30,2019-08-02,2019-06-30,2019-04-30,2019-03-31,2018-10-29,2018-09-30,2018-08-03,2018-06-30
intc,0000050863,2020-01-24,2019-12-28,2019-02-01,2018-12-29,2020-04-24,2020-03-28,2019-10-25,2019-09-28,2019-07-26,2019-06-29,2019-04-26,2019-03-30,2018-10-26,2018-09-29,2018-07-27,2018-06-30
ice,0001571949,2020-02-06,2019-12-31,2019-02-07,2018-12-31,2020-04-30,2020-03-31,2019-10-31,2019-09-30,2019-08-01,2019-06-30,2019-05-02,2019-03-31,2018-10-31,2018-09-30,2018-08-02,2018-06-30
ibm,0000051143,2020-02-25,2019-12-31,2019-02-26,2018-12-31,2020-04-28,2020-03-31,2019-10-29,2019-09-30,2019-07-30,2019-06-30,2019-04-30,2019-03-31,2018-10-30,2018-09-30,2018-07-31,2018-06-30
ip,0000051434,2020-02-19,2019-12-31,2019-02-20,2018-12-31,2020-05-01,2020-03-31,2019-11-01,2019-09-30,2019-07-31,2019-06-30,2019-05-03,2019-03-31,2018-11-02,2018-09-30,2018-08-03,2018-06-30
ipg,0000051644,2020-02-21,2019-12-31,2019-02-25,2018-12-31,2020-04-23,2020-03-31,2019-10-25,2019-09-30,2019-07-25,2019-06-30,2019-04-26,2019-03-31,2018-10-25,2018-09-30,2018-07-25,2018-06-30
iff,0000051253,2020-03-03,2019-12-31,2019-02-26,2018-12-31,2020-05-11,2020-03-31,2019-11-04,2019-09-30,2019-08-05,2019-06-30,2019-05-06,2019-03-31,2018-11-05,2018-09-30,2018-08-07,2018-06-30
intu,0000896878,2019-08-30,2019-07-31,2018-08-31,2018-07-31,2020-05-21,2020-04-30,2020-02-24,2020-01-31,2019-11-21,2019-10-31,2019-05-23,2019-04-30,2019-02-22,2019-01-31,2018-11-20,2018-10-31
isrg,0001035267,2020-02-07,2019-12-31,2019-02-04,2018-12-31,2020-04-17,2020-03-31,2019-10-18,2019-09-30,2019-07-22,2019-06-30,2019-04-19,2019-03-31,2018-10-22,2018-09-30,2018-07-20,2018-06-30
ivz,0000914208,2020-03-02,2019-12-31,2019-02-22,2018-12-31,2020-04-23,2020-03-31,,,,,,,,,,
ipgp,0001111928,2020-02-24,2019-12-31,2019-02-27,2018-12-31,2020-05-05,2020-03-31,2019-11-05,2019-09-30,2019-08-06,2019-06-30,2019-05-08,2019-03-31,2018-11-05,2018-09-30,2018-08-09,2018-06-30
iqv,0001478242,2020-02-18,2019-12-31,2019-02-19,2018-12-31,2020-04-30,2020-03-31,2019-11-01,2019-09-30,2019-07-24,2019-06-30,2019-05-02,2019-03-31,2018-10-25,2018-09-30,2018-07-27,2018-06-30
irm,0001020569,2020-02-13,2019-12-31,2019-02-14,2018-12-31,2020-05-07,2020-03-31,2019-10-31,2019-09-30,2019-08-01,2019-06-30,2019-04-25,2019-03-31,2018-10-25,2018-09-30,2018-07-27,2018-06-30
jkhy,0000779152,2019-08-26,2019-06-30,2018-08-24,2018-06-30,2020-05-08,2020-03-31,2020-02-07,2019-12-31,2019-11-08,2019-09-30,2019-05-09,2019-03-31,2019-02-07,2018-12-31,2018-11-08,2018-09-30
